# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 8.837568457238376141e-04 8.600589036941528320e-01 3.303745687007904053e-01 2.871115803718566895e-01 5.537799373269081116e-02 6.675527191162109375e+01 2.034039348363876343e-01 9.841080754995346069e-04 8.600589036941528320e-01 3.303745687007904053e-01 2.871115803718566895e-01 5.537799373269081116e-02 6.675527191162109375e+01 2.034039348363876343e-01
1.000000000000000000e+03 1.865954250097274780e-01 9.400676004588603973e-03 2.759406110271811485e-03 1.579007506370544434e-02 1.748028695583343506e-01 7.811561822891235352e-01 4.023141041398048401e-02 1.334690749645233154e-01 9.400676004588603973e-03 2.759406110271811485e-03 1.579007506370544434e-02 1.748028695583343506e-01 7.811561822891235352e-01 4.023141041398048401e-02
2.000000000000000000e+03 8.359604328870773315e-02 1.289587933570146561e-03 9.902599267661571503e-04 9.670658619143068790e-04 3.129571210592985153e-03 6.054565310478210449e-02 3.484888374805450439e-02 5.360607057809829712e-02 1.289587933570146561e-03 9.902599267661571503e-04 9.670658619143068790e-04 3.129571210592985153e-03 6.054565310478210449e-02 3.484888374805450439e-02
3.000000000000000000e+03 4.619316756725311279e-02 8.564526797272264957e-04 5.013521295040845871e-04 2.607721835374832153e-04 2.203773707151412964e-03 2.045800536870956421e-02 3.139984235167503357e-02 2.354117110371589661e-02 8.564526797272264957e-04 5.013521295040845871e-04 2.607721835374832153e-04 2.203773707151412964e-03 2.045800536870956421e-02 3.139984235167503357e-02
4.000000000000000000e+03 2.089205384254455566e-02 5.242377519607543945e-04 3.385493764653801918e-04 2.128158666891977191e-04 1.636253204196691513e-03 8.350111544132232666e-03 2.859516628086566925e-02 1.038683764636516571e-02 5.242377519607543945e-04 3.385493764653801918e-04 2.128158666891977191e-04 1.636253204196691513e-03 8.350111544132232666e-03 2.859516628086566925e-02
5.000000000000000000e+03 7.671273313462734222e-03 1.663051953073590994e-04 1.116600760724395514e-04 2.675789000932127237e-04 4.855310253333300352e-04 3.121916437521576881e-03 2.490362152457237244e-02 5.083467345684766769e-03 1.663051953073590994e-04 1.116600760724395514e-04 2.675789000932127237e-04 4.855310253333300352e-04 3.121916437521576881e-03 2.490362152457237244e-02
6.000000000000000000e+03 4.834284540265798569e-03 1.394626451656222343e-04 9.650293213780969381e-05 1.448180119041353464e-04 1.394885912304744124e-04 1.860776566900312901e-03 1.968633569777011871e-02 3.200382925570011139e-03 1.394626451656222343e-04 9.650293213780969381e-05 1.448180119041353464e-04 1.394885912304744124e-04 1.860776566900312901e-03 1.968633569777011871e-02
7.000000000000000000e+03 2.896321238949894905e-03 6.141488120192661881e-05 5.933609281782992184e-05 1.623609714442864060e-04 3.439861393417231739e-05 1.373576116748154163e-03 1.430632360279560089e-02 1.743235392495989799e-03 6.141488120192661881e-05 5.933609281782992184e-05 1.623609714442864060e-04 3.439861393417231739e-05 1.373576116748154163e-03 1.430632360279560089e-02
8.000000000000000000e+03 1.816752250306308270e-03 2.583302921266295016e-05 6.273225608310895041e-06 7.858063327148556709e-05 1.301782958762487397e-05 1.254841336049139500e-03 1.036198530346155167e-02 1.050617662258446217e-03 2.583302921266295016e-05 6.273225608310895041e-06 7.858063327148556709e-05 1.301782958762487397e-05 1.254841336049139500e-03 1.036198530346155167e-02
9.000000000000000000e+03 1.257043331861495972e-03 6.328195740934461355e-05 1.617379166418686509e-05 6.364715227391570807e-05 6.072567884984891862e-06 1.073559629730880260e-03 7.199661340564489365e-03 7.324056350626051426e-04 6.328195740934461355e-05 1.617379166418686509e-05 6.364715227391570807e-05 6.072567884984891862e-06 1.073559629730880260e-03 7.199661340564489365e-03
1.000000000000000000e+04 8.915055077522993088e-04 6.524401396745815873e-05 1.151742071670014411e-05 1.011510103126056492e-04 4.645831722882576287e-06 6.500777089968323708e-04 4.546223208308219910e-03 5.309353582561016083e-04 6.524401396745815873e-05 1.151742071670014411e-05 1.011510103126056492e-04 4.645831722882576287e-06 6.500777089968323708e-04 4.546223208308219910e-03
1.100000000000000000e+04 5.945788579992949963e-04 2.909103022830095142e-05 2.566564489825395867e-06 8.686983346706256270e-05 6.252170805964851752e-06 3.164876543451100588e-04 2.835420425981283188e-03 3.687778371386229992e-04 2.909103022830095142e-05 2.566564489825395867e-06 8.686983346706256270e-05 6.252170805964851752e-06 3.164876543451100588e-04 2.835420425981283188e-03
1.200000000000000000e+04 3.800288832280784845e-04 4.140716100664576516e-06 3.212161118426593021e-06 5.036341826780699193e-05 1.558039366500452161e-05 2.358887577429413795e-04 1.785183092579245567e-03 2.421740791760385036e-04 4.140716100664576516e-06 3.212161118426593021e-06 5.036341826780699193e-05 1.558039366500452161e-05 2.358887577429413795e-04 1.785183092579245567e-03
